sample_id	Trim1_R1_NoReads	Trim1_R1_NoBases	Trim1_R2_NoReads	Trim1_R2_NoBases	Trim2_R1_NoReads	Trim2_R1_NoBases	Trim2_R2_NoReads	Trim2_R2_NoBases
Pacuta_HTAC_TP1_2005	16774615	2260512506	16774615	2288675661	16764717	2259152374	16764717	2256162971
Pacuta_HTAC_TP1_2414	21585329	3079971843	21585329	3084436198	21585312	3079969536	21585312	3083337899
Pacuta_HTAC_TP3_1617	15468595	2068268894	15468595	2085432369	15463013	2067525480	15463013	2068742553
Pacuta_HTAC_TP3_1642	19306096	2593779401	19306096	2593247919	19306035	2593773520	19306035	2592173132
Pacuta_HTAC_TP3_2026	17565176	2354145573	17565176	2386937963	17553178	2352579719	17553178	2355647061
Pacuta_HTAC_TP4_1581	21221005	2863936068	21221005	2863301826	21220923	2863927573	21220923	2862094347
Pacuta_HTAC_TP4_1701	19916494	2707231636	19916494	2706523927	19916422	2707225177	19916422	2705378627
Pacuta_HTAC_TP4_1767	13991210	1942027897	13991210	1947277595	13991196	1942026314	13991196	1946702271
Pacuta_HTAC_TP5_1303	17399114	2347183844	17399114	2365069632	17394015	2346526283	17394015	2350612123
Pacuta_HTAC_TP5_1571	20865617	2802815233	20865617	2801948918	20865496	2802804668	20865496	2800728990
Pacuta_HTAC_TP5_1707	17951028	2417442780	17951028	2416935986	17950953	2417435256	17950953	2415927842
Pacuta_HTAC_TP6_1330	17257280	2231881292	17257280	2262730412	17249593	2230861486	17249593	2239437932
Pacuta_HTAC_TP6_1466	16575353	2223935892	16575353	2242678494	16567417	2222866320	16567417	2220676098
Pacuta_HTAC_TP6_1744	19863069	2769147257	19863069	2774544677	19863055	2769145272	19863055	2773488060
Pacuta_HTAC_TP7_1487	18228526	2522347432	18228526	2530430724	18228500	2522343801	18228500	2529612833
Pacuta_HTAC_TP7_1728	19252427	2768421708	19252427	2771433777	19252416	2768420108	19252416	2770554978
Pacuta_HTAC_TP7_2072	13958980	1932694179	13958980	1938020572	13958955	1932691511	13958955	1937366316
Pacuta_HTAC_TP8_1329	27395036	3714305413	27395036	3713308529	27394924	3714296235	27394924	3711694305
Pacuta_HTAC_TP8_1765	16979123	2245509804	16979123	2268473371	16973243	2244720422	16973243	2249034815
Pacuta_HTAC_TP8_2513	18527663	2464253946	18527663	2490344345	18522192	2463514739	18522192	2470287914
Pacuta_HTAC_TP9_1302	20665263	2775168460	20665263	2774652970	20665216	2775163848	20665216	2773484121
Pacuta_HTAC_TP9_1486	15322510	2103755380	15322510	2108432058	15321345	2103596511	15321345	2103029540
Pacuta_HTAC_TP9_1696	22909871	3107505387	22909871	3106461851	22909802	3107497431	22909802	3105114040
Pacuta_HTHC_TP10_1238	17827988	2406741222	17827988	2425729986	17822575	2406012709	17822575	2406138931
Pacuta_HTHC_TP10_1732	16321902	2184485947	16321902	2207965777	16317220	2183850126	16317220	2188381108
Pacuta_HTHC_TP10_2300	17042429	2274803750	17042429	2299905715	17035352	2273873298	17035352	2275737159
Pacuta_HTHC_TP11_1416	19032592	2556568349	19032592	2555943856	19032436	2556551220	19032436	2554725875
Pacuta_HTHC_TP11_2185	20119075	2722239106	20119075	2721629296	20119006	2722231735	20119006	2720469348
Pacuta_HTHC_TP1_1239	14299184	1955218326	14299184	1961425323	14299173	1955216996	14299173	1960782350
Pacuta_HTHC_TP1_1676	18231778	2329311300	18231778	2362333113	18220664	2327977762	18220664	2341572509
Pacuta_HTHC_TP1_2210	20407817	2762056399	20407817	2761388809	20407750	2762050518	20407750	2760176459
Pacuta_HTHC_TP3_1227	17996253	2447853276	17996253	2463301944	17991522	2447207385	17991522	2446829654
Pacuta_HTHC_TP3_1418	17809370	2412911549	17809370	2432626054	17803072	2412057789	17803072	2411162688
Pacuta_HTHC_TP3_2527	16377593	2240799447	16377593	2253368628	16374772	2240411818	16374772	2240906236
Pacuta_HTHC_TP4_1169	23089283	3078052823	23089283	3077463268	23089159	3078042745	23089159	3076158374
Pacuta_HTHC_TP4_1343	17662352	2441122496	17662352	2448708931	17662337	2441120674	17662337	2447962043
